Division,Placement,Skipper,Team,Total Score
B,1,Chester Jacobs '17,Bowdoin College,19
B,2,Preston Duclos '19,Roger Williams University,25
B,3,Collin Alexander '20,Boston University,25
B,4,Andrew Widmeier '20,U. S. Coast Guard Academy,29
B,5,Christopher Keller '19,Tufts University,33
B,6,Vincent Yannelli '19,University of Vermont,36
B,7,Colin Brego '20,Boston College,37
B,8,Maxwell Eberstadt-Beattie '20,Dartmouth College,48
B,9,Matteo Alampi '17,Northeastern University,51
B,10,Kyle Brego '17,Massachusetts Maritime Academy,51
B,11,Jade Forsberg '17,Middlebury College,57
B,12,Jack Gould '20 *,Maine Maritime Academy,57
