Division,Placement,Skipper,Team,Total Score
A,1,Charles Lomax '18,U. S. Merchant Marine Academy,10
A,2,Parker Loftus '20,U. S. Naval Academy,26
A,3,Vidar Minkovsky '18,SUNY Stony Brook,26
A,4,Joseph Egan '18,University of Pennsylvania,46
A,5,Robert Whitaker '18,Princeton University,50
A,6,Julian Fraize '18,Stevens Institute of Technology,50
A,7,Alexander Smith '17,Washington College,56
A,8,Trevor Koerwer '19,Villanova University,66
A,9,Mitchell Nunn '18,Ocean County College,67
A,10,Frederick Piasecki '18,Drexel University,69
A,11,Evan Shone '17,University of Delaware,71
A,12,none,Penn State University,95
A,13,Amanda Nuse '17,Monmouth University,97
A,14,Taylor Niles '17,Rutgers University,111
