Division,Placement,Skipper,Team,Total Score
A,1,Upamanyu Dutta '20,University of Southern California,19
A,2,Nicolai Sponholtz '19,University of California at Berkeley,28
A,3,Alex Demmler '19,California State University Long Beach,34
A,4,Vincent Todosiev '19,University of California at Berkeley,39
A,5,Ben Brough '19,Cal Poly University S.L.O.,55
A,6,Jeremy Burke '20,University of California at Santa Cruz,62
A,7,Christina Gasparich '19,University of Southern California,68
A,8,David Hopkins '19,University of California at Berkeley,76
A,9,Michael Gabassi '18,University of California at Berkeley,80
A,10,Nicholas Lenz Lenz '19,University of California at Los Angeles,82
A,11,Nick Aline '20,Arizona State University,82
A,12,Abraham Dearden '20,University of California at Los Angeles,85
A,13,Liam Hood '20,Cal Poly University S.L.O.,87
A,14,Natalie Hopper '19,University of California at San Diego,97
A,15,Jake Zarraonandia '19,University of California at Irvine,118
A,16,Annie Thompson '19,California State University Long Beach,122
A,17,Warren Ko '19,University of California at San Diego,132
A,18,Emily Guy '18,University of California at Irvine,134
A,19,Sierra Madden '19,University of California at Davis,150
A,20,Cameron Khorsandi '17,University of California at San Diego,152
A,21,Daniel Rust '19,Arizona State University,157
