Division,Placement,Skipper,Team,Total Score
A,1,Jack Cusick '17,College of Charleston,79
A,2,Nicholas Baird '19,Yale University,85
A,3,Harry Koeppel '17,Boston College,96
A,4,Robert Floyd '17,Dartmouth College,97
A,5,Ravi Parent '18,Boston University,110
A,6,Matthew Kaplan '19,Bowdoin College,111
A,7,Charles Lomax '18,U. S. Merchant Marine Academy,115
A,8,Mackenzie Bryan '18,Roger Williams University,125
A,9,Megan Grapengeter-Rudnick '17,Brown University,137
A,10,Ty Ingram '18,Massachusetts Institute of Technology,137
A,11,Will Holz '17,Fordham University,138
A,12,Jack Bitney '19,Tufts University,145
A,13,Nick DiGiovanni '19,Harvard University,164
A,14,Jackson Hamilton '19,Northeastern University,178
A,15,Jonathan Lutz '17,St. Mary's College of Maryland,180
A,16,Kyle Comerford '19,SUNY Maritime College,197
A,17,Andrew Schoene '18,Eckerd College,201
