Division,Placement,Skipper,Team,Total Score
A,1,John Ruitenberg '19,Queen's University,22
A,2,Brendan Aulthouse '16,Queen's University,43
A,3,Cooper Siepert '20,U. S. Merchant Marine Academy,53
A,4,Daniel Birmingham '17,Cornell University,55
A,5,Connor Swikart '18,Hobart and William Smith Colleges,65
A,6,Will Jones '17,Queen's University,69
A,7,Ryan Wood '17,U. S. Merchant Marine Academy,95
A,8,Devin Keister '18,U. S. Merchant Marine Academy,97
A,9,Juan Lejarraga '19,SUNY Maritime College,102
A,10,Arthur Libby '17,SUNY Maritime College,111
A,11,Noah Barrengos Barrengos '18,Hobart and William Smith Colleges,118
A,12,Ian Beckley '20,Hobart and William Smith Colleges,123
A,13,Philip Davis '20,Hobart and William Smith Colleges,139
A,14,Max Pierce '20,Webb Institute,172
