Division,Placement,Skipper,Team,Total Score
B,1,Jack McGuire '17,Bowdoin College,17
B,2,Nicolas Hernandez '19,Yale University,26
B,3,Karl Rasmus Sayre '19,Eckerd College,29
B,4,Hannah Polster '17,Boston University,29
B,5,Scott Barbano '17,Tufts University,30
B,6,Carter Pemberton '20,Connecticut College,30
B,7,Sam Alexander '18,Brown University,50
B,8,Dakota Northrup '19,University of Rhode Island,53
B,9,Liam McCarthy '19,St. Mary's College of Maryland,59
B,10,Matt Cappetta '19,Fordham University,63
B,11,Duncan Williford '18,Dartmouth College,64
B,12,Nick DiGiovanni '19,Harvard University,68
B,13,Stephen Duncan '20,Massachusetts Institute of Technology,70
B,14,Maxwell Brill '20,U. S. Naval Academy,70
B,15,Kyle Riggs '21,Northeastern University,81
B,16,Hannah Schmidt '17,Washington College,83
B,17,Bayard Lalor '19,Salve Regina University,96
