Division,Placement,Skipper,Team,Total Score
A,1,Casey Klingler '18,Yale University,49
A,2,Rose Edwards '18,Georgetown University,63
A,3,Carolyn Smith '17,St. Mary's College of Maryland,70
A,4,Megan Grapengeter-Rudnick '17,Brown University,71
A,5,Bailey Carter '19,Hobart and William Smith Colleges,80
A,6,Julia Lambert '18,Stanford University,89
A,7,Hannah Hughes '17,U. S. Naval Academy,97
A,8,Miranda Bakos '18,George Washington University,103
A,9,Elise Gehling '17,Northeastern University,106
A,10,Kate Klement '17,University of Wisconsin,112
A,11,Adelaide Ferguson '17,Fordham University,129
A,12,Samara Leith '19,Christopher Newport University,140
A,13,Rachel Yannelli '19,University of South Florida,165
A,14,Rachel Pruncnal '20 *,University of Maryland,221
