Division,Placement,Skipper,Team,Total Score
C,1,Lindsey Baab '18,Brown University,36
C,2,Lola Bushnell '18,Georgetown University,67
C,3,Jessica McJones '20,U. S. Naval Academy,69
C,4,Sarah Streater '18,University of South Florida,70
C,5,Ellie Ungar '19,St. Mary's College of Maryland,85
C,6,Christine Klingler '20,Yale University,88
C,7,Haley Fox '18,Stanford University,89
C,8,Sarah Alexander '19,George Washington University,89
C,9,Jessica Lietz '20,Hobart and William Smith Colleges,116
C,10,Megan McMahon '17,University of Wisconsin,123
C,11,Elizabeth Foulston '17,Fordham University,129
C,12,Carolyn Corbet '21,Northeastern University,137
C,13,Amanda Attardi '17,Christopher Newport University,167
C,14,Jaimie Martin '18,University of Maryland,220
