Division,Placement,Skipper,Team,Total Score
A,1,Jack Gonzales '18,University of South Carolina,12
A,2,No show,The Citadel,14
A,3,Abbie Probst '19,Clemson University,14
A,4,Darby Reddaway '19,Georgia Institute of Technology,26
A,5,none,Vanderbilt University,36
A,6,Ian Coyne '19,University of Tennessee,37
A,7,Timothy DeWitt '17,University of Georgia,38
A,8,Zack Morey '17,North Carolina State University,44
A,9,none,University of North Carolina at Wilmington,52
A,10,Jonathan Ashworth '17,Auburn University,57
