Division,Placement,Skipper,Team,Total Score
A,1,August Sturm '19,U. S. Coast Guard Academy,17
A,2,Ryan Gershuny '18,University of New Hampshire,38
A,3,Nicholas Giacobbe '19,Tufts University,47
A,4,Thomas Cooper '19,Fordham University,51
A,5,Renee Torrie '18,McGill University,54
A,6,Aidan Molesky '20,SUNY Maritime College,62
A,7,James Gilmore III '19,SUNY Stony Brook,63
A,8,none,Worcester Polytechnic Institute,68
A,9,David Tampellini '17,Sacred Heart University,83
A,10,Abe Kipnis '18,Wesleyan University,84
A,11,Lillian Vincens '19,Fairfield University,103
A,12,George Williams '17,University of Connecticut,117
A,13,Samantha Mislinski '19,SUNY Stony Brook,124
