Division,Placement,Skipper,Team,Total Score
B,1,Carter Pemberton '20,Connecticut College,14
B,2,Cameron Holley '19,Tufts University,24
B,3,Zachary Jordan '20,Brown University,40
B,4,Samuel Shea '19,Tufts University,40
B,5,Solomon Tarlin '17,Boston University,50
B,6,Christopher Pearson '20,University of Rhode Island,52
B,7,Joe Menesale '20,U. S. Coast Guard Academy,64
B,8,Hannah Ker '18,McGill University,79
B,9,No show,Sacred Heart University,95
B,10,Benton Croop '18,University of Rhode Island,96
B,11,Jack Gould '20 *,Maine Maritime Academy,99
B,12,Ben Arquit '20,Middlebury College,111
B,13,No show,Fairfield University,114
B,14,Joshua Linker '19,University of Massachusetts at Amherst,116
B,15,Ross Richins '17,Bates College,128
B,16,Camille Britton '20 *,Wesleyan University,136
B,17,Kiley Burke '17,Emmanuel College,141
B,18,John Burgess '20,Providence College,141
