Division,Placement,Skipper,Team,Total Score
B,1,Andrew Sheerin '19,George Washington University,40
B,2,AJ Reiter '17,Georgetown University,44
B,3,Dane Byerly '20,St. Mary's College of Maryland,45
B,4,Victor Layne '20,University of Virginia,47
B,5,Luca Taglialegne '19,Hampton University,49
B,6,Jack Elkin '19,Old Dominion University,56
B,7,Samara Leith '19,Christopher Newport University,74
B,8,Nicholas Brady '19,Virginia Tech,91
B,9,Alexander Johnston '18,University of Maryland,110
B,10,Emily Seeley '19,American University,136
B,11,John Monday '19,St. John's College,139
B,12,Danyte Reisinger '19,University of Maryland/Baltimore County,139
B,13,Conor MacNeill '19,Loyola University Maryland,140
B,14,Gus Williams '18 *,William and Mary,175
B,15,Meghan Crawford '20 *,Catholic University of America,181
