Division,Placement,Skipper,Team,Total Score
A,1,Florian Eenkema Van Dijk '19,Tufts University,41
A,2,Peter Christensen '18,Northeastern University,81
A,3,Charles Welsh '18,Boston University,84
A,4,Nicholas Karnovsky '19,Harvard University,94
A,5,Jacob Martz '17,Boston College,105
A,6,Quinn Andersen '18,Brown University,106
A,7,Peter Sterflinger '17,Johnson and Wales University,109
A,8,Ben Brown '18,Middlebury College,113
A,9,Marcus Abate '20,Massachusetts Institute of Technology,114
A,10,Preston Duclos '19,Roger Williams University,114
A,11,Matt Safford '20,Bowdoin College,132
A,12,Karel Mailloux-Kuz '18,University of Rhode Island,151
A,13,Nicholas Memoli '20,Bentley University,186
A,14,Dylan Whitcraft '19 *,Bates College,197
A,15,Stephanie Clancy '17,Salve Regina University,217
A,16,George Williams '17,University of Connecticut,225
A,17,Henry Bushnell '17,Wesleyan University,239
A,18,Andries Feder '17,McGill University,242
A,19,none,Wellesley College,300
