Division,Placement,Skipper,Team,Total Score
B,1,Hannah Steadman '20,Brown University,47
B,2,Katharina (KB) Knapp '18,Yale University,51
B,3,Lucy Wilmot '20,Harvard University,59
B,4,Alexandra Maurillo '18,Connecticut College,63
B,5,Kelsey Shakin '19,Roger Williams University,70
B,6,Isabella Loosbrock '19,Boston College,79
B,7,Molly Pleskus '18,Tufts University,84
B,8,Greta Farrell '18,Massachusetts Institute of Technology,95
B,9,Allison Cahn '20,Boston University,113
B,10,Delaney Bamford '20,University of Rhode Island,113
B,11,Annie Spence '20,University of Vermont,132
B,12,Erin Coyne '19,Northeastern University,137
B,13,Marie Bergsund '20,Bowdoin College,140
