Division,Placement,Skipper,Team,Total Score
A,1,Reeve Dunne '10 *,Tufts University,15
A,2,D.J. Hatch '11,Bowdoin College,24
A,3,Will Pelleteri '12,Tufts University,29
A,4,Toan Tran-Phu '10 *,Massachusetts Institute of Technology,33
A,5,Tripp Cashel '11,Boston University,47
A,6,Patrick Morrissey '12,Massachusetts Maritime Academy,49
A,7,Austen Fiora '12,Wesleyan University,49
A,8,Michael Levy '?? *,Trinity College,50
A,9,Peter Noogan '11,Amherst College,55
A,10,Catherine Coupland '12,University of New Hampshire,57
A,11,Josh Basseches '12,Brandeis University,61
A,12,Sean McMullen '12,Northeastern University,61
A,13,Robert Dellsy '09 *,Tufts University,63
A,14,Lauren Wild '09 *,Brandeis University,64
A,15,Arthur Bartolozzi '12,Harvard University,77
A,16,Lauren McGraw '11,Wellesley College,83
