Division,Placement,Skipper,Team,Total Score
A,1,Quentin Chafee '11,University of Vermont,31
A,2,Colin Santangelo '11,Harvard University,32
A,3,Max Taylor '11,University of Vermont,35
A,4,Marty Masterson '10 *,Providence College,43
A,5,Matt Johnson '12,Boston University,45
A,6,Conor Lodge '14,Northeastern University,45
A,7,James Altreuter '11,Tufts University,47
A,8,John Vrolyk '10 *,Yale University,54
A,9,Billy Hines '12,Bates College,59
A,10,Alex Kavanaugh '11,University of Rhode Island,67
A,11,Tevis Nichols '12,Massachusetts Institute of Technology,67
A,12,Terry Clarke '13,Massachusetts Maritime Academy,99
A,13,John Fonte '12,Brandeis University,99
