Division,Placement,Skipper,Team,Total Score
A,1,Scott Furnary '11,Georgetown University,53
A,2,Mitchell Hall '10 *,University of South Florida,55
A,3,Mac Mace '13,College of Charleston,55
A,4,Joseph Blouin '10 *,Washington College,65
A,5,Torey Pellegrini '10 *,Salve Regina University,72
A,6,Robert Vann '11,U. S. Naval Academy,79
A,7,Shawn Murray '12,SUNY Maritime College,89
A,8,Nicholas Kaschak '12,University of California at Santa Barbara,89
A,9,Frederick Whitman '11,St. Mary's College of Maryland,109
A,10,Mike Warren '10 *,University of Rhode Island,115
A,11,Joseph Kutschenreuter '12,University of Wisconsin,121
A,12,Katrina Williams '10 *,Old Dominion University,132
A,13,Ian Sutherland '12,Providence College,154
A,14,Harrison Cabiness '12,Clemson University,154
A,15,Scott Proctor '11,University of Texas,159
A,16,Spencer Verney '10 *,Eckerd College,163
A,17,Chris Raff '11,Tulane University,181
A,18,Matthew Hussak '13,Virginia Tech,212
