Division,Placement,Skipper,Team,Total Score
B,1,Emily Maxwell '11,Boston College,63
B,2,Elizabeth Powers '10 *,Harvard University,72
B,3,Emily Dellenbaugh '12,Brown University,82
B,4,Megan Magill '11,St. Mary's College of Maryland,92
B,5,Shannon Heausler '10 *,College of Charleston,104
B,6,Chandler Salisbury '13,Dartmouth College,138
B,7,Abby Featherstone '13,University of South Florida,140
B,8,Bethany Leonard '11,University of Rhode Island,143
B,9,Morgan Wilson '11,Old Dominion University,145
B,10,Kelly Crane '11,Hobart and William Smith Colleges,148
B,11,Emilie Mademann '12,Eckerd College,151
B,12,Margaret Tautz '12,Tufts University,152
B,13,Atlantic Brugman '13,Connecticut College,153
B,14,Katii Gullick '12,Massachusetts Institute of Technology,156
B,15,Alexandra Arntsen '12,University of Vermont,157
B,16,Jennifer Proctor '11,U. S. Coast Guard Academy,158
B,17,Genoa Warner '12,Yale University,159
B,18,Emma Kofmehl '13,University of Pennsylvania,184
