Division,Placement,Skipper,Team,Total Score
B,1,Charlotte Lipschitz '10 *,Brown University,44
B,2,Katrina Williams '10 *,Old Dominion University,53
B,3,Margaret Tautz '12,Tufts University,56
B,4,Emily Maxwell '11,Boston College,59
B,5,Shannon Heausler '10 *,College of Charleston,62
B,6,Elizabeth Powers '10 *,Harvard University,66
B,7,Kelly Crane '11,Hobart and William Smith Colleges,72
B,8,Megan Magill '11,St. Mary's College of Maryland,85
B,9,Emilie Mademann '12,Eckerd College,88
B,10,Lauren Burke '12,Georgetown University,92
B,11,Hannah Burroughs '11,Stanford University,92
B,12,Elizabeth Whipple '12,Connecticut College,97
B,13,Kelsey Rupp '12,University of Southern California,110
B,14,Mary Cummins '11,University of Wisconsin,121
B,15,Laura Stamets '12,Texas A&M University at Galveston,130
B,16,Rachel Barch '13,University of Michigan,152
B,17,Hazel Mahony '11,University of Texas,165
B,18,Alyce Flanagan '13,University of Washington,166
