Division,Placement,Skipper,Team,Total Score
A,1,Charlie Buckingham '11,Georgetown University,53
A,2,Clinton Hayes '10 *,University of Vermont,65
A,3,Alan Palmer '11,Harvard University,74
A,4,Michael Menninger '11,St. Mary's College of Maryland,78
A,5,Thomas Barrows '10 *,Yale University,79
A,6,Fred Strammer '11,Brown University,82
A,7,Tomas Hornos '10 *,Tufts University,83
A,8,Tyler Sinks '11,Boston College,88
A,9,Robert Vann '11,U. S. Naval Academy,91
A,10,Cy Thompson '11,Roger Williams University,96
A,11,Mitchell Hall '10 *,University of South Florida,98
A,12,Torey Pellegrini '10 *,Salve Regina University,107
A,13,Juan Maegli '13,College of Charleston,112
A,14,Gary Herring '12,U. S. Merchant Marine Academy,115
A,15,Shawn Murray '12,SUNY Maritime College,118
A,16,Stephanie Roble '11,Old Dominion University,119
A,17,Justin Doane '12,Stanford University,119
A,18,Samuel Blouin '12,Hobart and William Smith Colleges,123
