Division,Placement,Skipper,Team,Total Score
A,1,Caroline Patten '11,Hobart and William Smith Colleges,18
A,2,Harry Scott '13,SUNY Maritime College,34
A,3,James Allsopp '11,U. S. Naval Academy,41
A,4,Graham Gardner '11,Fordham University,48
A,5,Evan Siepert '13,U. S. Merchant Marine Academy,50
A,6,Billy Hluchan '12,American University,75
A,7,Andrew Bergan '10 *,Drexel University,82
A,8,Nicholas Amalfetano '11,Loyola University Maryland,87
A,9,Ian Hunt '13,Rochester Institute of Technology,113
A,10,Brian Street '12,University of Rochester,122
A,11,Elizabeth Siegal '16,Columbia University,130
A,12,Alanna Foscarini '13 *,Royal Military College,136
A,13,none,Hamilton College,168
