Division,Placement,Skipper,Team,Total Score
B,1,Bo McClatchy '13,Dartmouth College,62
B,2,Bernie Roesler '12,Dartmouth College,76
B,3,Quentin Chafee '11,University of Vermont,86
B,4,Haley Powell '13,Roger Williams University,113
B,5,Will Pelleteri '12,Tufts University,119
B,6,William Cotta '11,U. S. Coast Guard Academy,123
B,7,Eric Decesar '11,Salve Regina University,125
B,8,Stephen Sweriduk '12,Connecticut College,156
B,9,Scott Brokaw '10 *,Providence College,165
B,10,Brent Lunghino '12 *,Brown University,170
B,11,Jacob Tronaas '12,U. S. Coast Guard Academy,189
B,12,Thomas Chronert '13,U. S. Coast Guard Academy,194
B,13,Chris Grabe '10 *,U. S. Coast Guard Academy,205
B,14,Nathan Stevens '11,Yale University,221
B,15,Ann Sager '13 *,University of New Hampshire,223
B,16,Robert Pierce '12,Massachusetts Maritime Academy,280
B,17,Colin Silveno '12 *,University of Connecticut,280
B,18,Alex Hering '13,Mitchell College,302
B,19,Sam Bainbridge '13 *,Johnson and Wales University,362
B,20,Gabriel Elder '11,Wesleyan University,373
