Division,Placement,Skipper,Team,Total Score
B,1,Benjamin Pedrick '11,Stanford University,18
B,2,Peter Stemler '10 *,Stanford University,19
B,3,Oliver Riihiluoma '12,Stanford University,23
B,4,Hannah Burroughs '11,Stanford University,29
B,5,Andrew Cowley '12,University of California at Santa Cruz,32
B,6,Charles Davis '10 *,California Maritime Academy,35
B,7,Maxwell Wyman '12,Santa Clara University,39
B,8,Thomas Maher '12,Cal Poly University S.L.O.,47
B,9,Lauren Amery '12,University of California at Berkeley,53
B,10,Ryan Lee '12,University of California at Davis,59
B,11,Jonathan Dilworth '11,Cal Poly University S.L.O.,69
B,12,none,University of California at Berkeley,82
B,13,none,Santa Clara University,84
B,14,Trevor Fournier '11 *,California State University Monterey Bay,85
B,15,Andrew Freeman '10 *,California Maritime Academy,88
B,16,Maryan Gonnerman '11,California State University Monterey Bay,88
B,17,Kenton Stutz '11,University of California at Berkeley,95
B,18,none,University of California at Davis,96
B,19,Ashley Eberhard '11,California State University Monterey Bay,99
