Division,Placement,Skipper,Team,Total Score
B,1,Brooks Clark '13,College of Charleston,9
B,2,Alexander Smolka '13,Clemson University,13
B,3,Becca Denny '10 *,Vanderbilt University,17
B,4,Oliver Evans '12,University of North Carolina at Wilmington,27
B,5,Ervin Grove '11,University of Tennessee,30
B,6,Andrea Bright '12,Auburn University,37
B,7,Patrick Muller '12,Davidson College,38
B,8,Scott Zhang '11 *,Duke University,45
B,9,Craig Mitchell '10 *,University of North Carolina,54
B,10,Clinton Hodges '10 *,Georgia Institute of Technology,66
