Division,Placement,Skipper,Team,Total Score
A,1,Patrick Maher '10 *,Cal Poly University S.L.O.,12
A,2,Eliza Richartz '13,Stanford University,17
A,3,Andrew Cowley '12,University of California at Santa Cruz,24
A,4,Michael Lazzaro '12,University of California at Davis,28
A,5,Cody Shevitz '12,University of California at Berkeley,29
A,6,Bradley Schoch '11,California State University Monterey Bay,35
A,7,Samuel Harrison '12,Santa Clara University,41
A,8,Erik Lund '14,Cal Poly University S.L.O.,53
A,9,Gregory Hodges '10 *,University of California at Berkeley,56
A,10,Janet Rumsey '13,California State University Monterey Bay,58
A,11,Ashley Eberhard '11,California State University Monterey Bay,61
A,12,Lauren Amery '12,University of California at Berkeley,61
A,13,Christopher Hagerman '11,University of California at Davis,71
