Division,Placement,Skipper,Team,Total Score
B,1,Benjamin Pedrick '11,Stanford University,11
B,2,Francesca Delle Cese '12,Cal Poly University S.L.O.,24
B,3,Ryan Lee '12,University of California at Davis,26
B,4,Dan Sundberg '10 *,University of California at Berkeley,27
B,5,none,University of California at Berkeley,37
B,6,Mickail Murawski '10 *,University of California at Santa Cruz,39
B,7,Trevor Fournier '11 *,California State University Monterey Bay,39
B,8,Maxwell Wyman '12,Santa Clara University,48
B,9,Kenton Stutz '11,University of California at Berkeley,53
B,10,James Hardenbergh '?? *,California State University Monterey Bay,54
B,11,Maryan Gonnerman '11,California State University Monterey Bay,54
B,12,Brittany Hirsch '13,University of California at Davis,66
B,13,Anthony Crans '11 *,Cal Poly University S.L.O.,68
