Division,Placement,Skipper,Team,Total Score
B,1,Jacob Denney '13,Tufts University,14
B,2,Mark Van De Loo '13,Massachusetts Institute of Technology,16
B,3,Nick Waldo '13,Harvard University,31
B,4,Sarah Hylton '13,Dartmouth College,43
B,5,Justin Cruanes '11,McGill University,45
B,6,Zachary Fox '13,Bowdoin College,50
B,7,William Trumper '11,University of New Hampshire,54
B,8,Elizabeth Braunstein '11,Amherst College,66
B,9,Jeff Croteau '10 *,Wellesley College,68
B,10,Abigail Crenshaw '14,Northeastern University,70
B,11,Cate Brady '?? *,Endicott College,77
B,12,none,University of Massachusetts at Boston,104
