Division,Placement,Skipper,Team,Total Score
B,1,James Simmons '13,University of Rhode Island,29
B,2,John Renehan '13,Dartmouth College,30
B,3,Daniel Perkins '11,Boston University,32
B,4,Cameron Pimentel '13,Roger Williams University,35
B,5,William Hutchings '13,Tufts University,43
B,6,Ryan Mullins '13,Boston College,53
B,7,Eric Decesar '11,Salve Regina University,54
B,8,Andrew Kurzrok '11,Yale University,58
B,9,Jason Michas '13,Harvard University,69
B,10,Kevin Walsh '13,Northeastern University,75
B,11,Sarah Fiske '13,Bowdoin College,75
B,12,Charles Bernstein '12,Massachusetts Institute of Technology,88
B,13,Colden Johanson '10 *,Providence College,99
B,14,James Fales '13,University of Connecticut,111
B,15,Josh Basseches '12,Brandeis University,114
B,16,Nick Sneath '13 *,Bates College,131
