Division,Placement,Skipper,Team,Total Score
A,1,Nikolas Osvalds '11,Brown University,27
A,2,Quentin Chafee '11,University of Vermont,44
A,3,Eric Decesar '11,Salve Regina University,47
A,4,Michael Hession '10 *,Yale University,57
A,5,Peter Hughes '11,Dartmouth College,71
A,6,William Cotta '11,U. S. Coast Guard Academy,73
A,7,Michael Reney '13,Massachusetts Maritime Academy,82
A,8,Viktor Bolmgren '11,Bowdoin College,85
A,9,Scott Brokaw '10 *,Providence College,91
A,10,Dylan Griffin '12,Wesleyan University,102
A,11,Cynthia Anderson '11,University of Connecticut,114
