Division,Placement,Skipper,Team,Total Score
A,1,Clinton Hayes '10 *,University of Vermont,78
A,2,William Brown '10 *,Brown University,85
A,3,Sam Williams '12,Dartmouth College,107
A,4,Tomas Hornos '10 *,Tufts University,110
A,5,Joseph Blouin '10 *,Washington College,111
A,6,Solomon Tarlin '17,Boston University,114
A,7,John Stokes '11,Harvard University,138
A,8,John Moulthrop '10 *,Hobart and William Smith Colleges,149
A,9,Peter Pellegrini '12,Salve Regina University,157
A,10,George Saunders '12,Roger Williams University,161
A,11,Mitchell Hall '10 *,University of South Florida,166
A,12,Alex Cook '13,Boston College,185
A,13,Joshua Leighton '10 *,Massachusetts Institute of Technology,186
A,14,John Wright '10 *,University of Florida,203
A,15,Carl Shorett '10 *,Fordham University,205
A,16,Ian Sutherland '12,Providence College,232
A,17,Gregg Griffin '11,University of New Hampshire,255
A,18,Christina Baker '10 *,University of Michigan,267
