Division,Placement,Skipper,Team,Total Score
B,1,Ashley Vincent '12,Western Washington University,29
B,2,Bradley Sainsbury '10 *,University of Washington,36
B,3,Steve Johnsen '15,University of Washington,39
B,4,Tate Wester '13,Portland State University,59
B,5,Martin Van Den Berghe '10 *,University of Victoria,62
B,6,Meigan Blunt '10 *,University of Victoria,75
B,7,Andrew Nelson '10 *,Western Washington University,82
B,8,Graham Dudik '11,Portland State University,88
B,9,Melissa Rathbun '13,Lewis and Clark College,96
B,10,Michael Trombatore '12,University of Puget Sound,112
B,11,Matthew Clevenger '10 *,University of Puget Sound,121
