Division,Placement,Skipper,Team,Total Score
A,1,Elizabeth Barry '11,Brown University,33
A,2,Emily Lambert '12,Harvard University,37
A,3,Anne Haeger '12,Boston College,46
A,4,Maggie Shea '11,Connecticut College,46
A,5,Sarah Lihan '10 *,Yale University,59
A,6,Amy Hawkins '12,University of Rhode Island,67
A,7,Rebecca Dellenbaugh '10 *,Dartmouth College,70
A,8,Catherine Swanson '11,Tufts University,76
A,9,Krysta Rohde '11,U. S. Coast Guard Academy,80
A,10,Katii Gullick '12,Massachusetts Institute of Technology,82
A,11,Kimberly Kaull '13,University of Vermont,91
A,12,Caroline Wilhelm '11,Boston University,104
A,13,Charlotte Williams '10 *,Bowdoin College,111
