Division,Placement,Skipper,Team,Total Score
A,1,Taylor Canfield '11,Boston College,43
A,2,Michael Menninger '11,St. Mary's College of Maryland,52
A,3,Samuel Blouin '12,Hobart and William Smith Colleges,60
A,4,Zeke Horowitz '12,College of Charleston,62
A,5,Alan Palmer '11,Harvard University,65
A,6,Coleman Bowen '11,University of Vermont,66
A,7,William Hutchings '13,Tufts University,84
A,8,Zachary Marks '11,University of South Florida,95
A,9,Mateo Vargas '14,Stanford University,101
A,10,Gavin Rudolph '12,Old Dominion University,104
A,11,Eamon Glackin '12,Massachusetts Institute of Technology,105
A,12,Edward Glackin '11,Dartmouth College,108
A,13,Shawn Murray '12,SUNY Maritime College,109
A,14,Ian Holtzworth '13,U. S. Merchant Marine Academy,109
A,15,Jason Carminati '12,U. S. Naval Academy,109
A,16,Michael Whitford '12,Washington College,110
A,17,Vincent Andrews '11,Cornell University,148
