Division,Placement,Skipper,Team,Total Score
A,1,John Renehan '13,Dartmouth College,48
A,2,Alexander Sachs '12,Fordham University,51
A,3,D.J. Hatch '11,Bowdoin College,52
A,4,Gerard Tonachel '13,Stevens Institute of Technology,54
A,5,Louis Padnos '14,Hobart and William Smith Colleges,56
A,6,Ian Holtzworth '13,U. S. Merchant Marine Academy,61
A,7,Amy Hawkins '12,University of Rhode Island,61
A,8,Halsey Richartz '11,University of Pennsylvania,62
A,9,Nikolas Osvalds '11,Brown University,63
A,10,Alejandro Ravelo '11,U. S. Naval Academy,67
A,11,Meredith Carroll '11,George Washington University,77
A,12,John Meleney '13,Tufts University,79
A,13,Billy Hines '12,Columbia University,81
A,14,Tyler Steel '13,SUNY Maritime College,83
A,15,Bradley Milliken '14,U. S. Coast Guard Academy,98
A,16,Alden Sonnenfeldt '13,Cornell University,107
A,17,Andrew Werner '14,Princeton University,142
A,18,Trevor Nederlof '11,Drexel University,142
A,19,James Peaco '14,U. S. Military Academy,148
A,20,Nicholas Woviotis '15,Syracuse University,149
