Division,Placement,Skipper,Team,Total Score
A,1,Collin Weston '13,Texas A&M University at Galveston,40
A,2,Laura Stamets '12,Texas A&M University at Galveston,40
A,3,Andrew Eyring '07,Tulane University,48
A,4,Alfred Robbins '12,Texas A&M University at Galveston,50
A,5,Rebekka Urbina '12,Texas A&M University at Galveston,64
A,6,none,Texas A&M University,72
A,7,Jonathan Atwood '12,Texas A&M University at Galveston,73
A,8,Benjamin Kennady '13,Texas A&M University at Galveston,75
A,9,Caitlynn Taylor '11,University of Texas,78
A,10,Nicholas Chong '13,Texas A&M University at Galveston,83
A,11,Stuart Conrad '13,Texas A&M University at Galveston,90
A,12,none,Texas A&M University,95
A,13,Patrick Campbell '12,Baylor University,119
A,14,none,Texas A&M University,126
