Division,Placement,Skipper,Team,Total Score
B,1,Coleman Terrell '14,Texas A&M University at Galveston,22
B,2,Christopher Foster '14,Texas A&M University at Galveston,23
B,3,Ryan Carden '12,Texas A&M University at Galveston,32
B,4,Mary Duncan '11,Tulane University,54
B,5,Nicholas Kirk '14,Texas A&M University at Galveston,54
B,6,Austin Moon '12,Texas A&M University at Galveston,74
B,7,Jessica Malone '12,Texas A&M University at Galveston,76
B,8,Anthony Tran '11,Baylor University,86
B,9,Richard Cathriner '14,University of Texas,90
B,10,Morgan Smith '17,Texas A&M University at Galveston,91
B,11,Aly Gazzola '14,Texas A&M University at Galveston,108
B,12,none,Texas A&M University,117
B,13,none,Texas A&M University,118
B,14,none,Texas A&M University,131
