Division,Placement,Skipper,Team,Total Score
A,1,Briana Provancha '12,Boston College,77
A,2,Sydney Bolger '12,Georgetown University,95
A,3,Elizabeth Barry '11,Brown University,113
A,4,Emily Billing '13,Yale University,120
A,5,Amy Hawkins '12,University of Rhode Island,121
A,6,Mayumi Roller '13,St. Mary's College of Maryland,127
A,7,Emily Lambert '12,Harvard University,133
A,8,Corey Hall '12,College of Charleston,162
A,9,Maggie Shea '11,Connecticut College,165
A,10,Morgan Wilson '11,Old Dominion University,165
A,11,Marissa Lihan '14,U. S. Naval Academy,172
A,12,Abby Featherstone '13,University of South Florida,175
A,13,Kelly Crane '11,Hobart and William Smith Colleges,188
A,14,Alexandra Arntsen '12,University of Vermont,194
A,15,Emilie Mademann '12,Eckerd College,231
A,16,Rachel Barch '13,University of Michigan,259
A,17,Ryann Hall '11,Fordham University,277
A,18,Hillary Paulsen '13,Cornell University,279
