Division,Placement,Skipper,Team,Total Score
A,1,Alan Palmer '11,Harvard University,66
A,2,Cam Cullman '13,Yale University,86
A,3,William Hutchings '13,Tufts University,95
A,4,Nick Aswad '11,U. S. Merchant Marine Academy,96
A,5,Halsey Richartz '11,University of Pennsylvania,110
A,6,John Wallace '14,St. Mary's College of Maryland,110
A,7,Benjamin Bainbridge '12,Connecticut College,111
A,8,Coleman Bowen '11,University of Vermont,123
A,9,Matt Johnson '12,Boston University,136
A,10,Connor Needham '14,Roger Williams University,136
A,11,James Allsopp '11,U. S. Naval Academy,143
A,12,Ryan White '11,Northeastern University,171
A,13,Philip Alley '12,Cornell University,172
A,14,Billy Hines '12,Columbia University,173
A,15,Gene Merewether '13,Princeton University,202
A,16,Alexander Lovo '11,U. S. Military Academy,268
