Division,Placement,Skipper,Team,Total Score
B,1,Rex Cameron '12,University of California at Irvine,42
B,2,Zachary Hester '10,University of Hawaii,46
B,3,Madeline Kennedy '14,University of Hawaii,55
B,4,Cameron Hutcheson '14,University of Southern California,55
B,5,Michael Hanson '12,University of Hawaii,67
B,6,Mallory Schluter '14,University of Southern California,70
B,7,Craig Schifferns '12,University of Hawaii,87
B,8,Erik Lund '14,Cal Poly University S.L.O.,104
B,9,Peter McGrath '13,Western Washington University,112
B,10,Brooke Sharp '11,University of California at San Diego,123
B,11,Ashley Vincent '12,Western Washington University,134
B,12,Sean Patno '11,University of California at San Diego,142
B,13,Jean Rutledge '13,University of California at Santa Cruz,146
