Division,Placement,Skipper,Team,Total Score
A,1,Christopher Banholzer '13,College of Charleston,19
A,2,Abby Featherstone '13,University of South Florida,27
A,3,Cassandra Yankala '13,Rollins College,36
A,4,Harrison Cabiness '12,Clemson University,47
A,5,Morgan O'Neil '13,Georgia Tech,52
A,6,Solvig Sayre '14,Eckerd College,70
A,7,Danny Levy '11,University of Florida,71
A,8,Ben Jassin '13,University of Miami,72
A,9,Samuel Hodges '13,Auburn University,90
A,10,Michael Todd '11,Jacksonville University,95
A,11,Gregory Bachman '11,Duke University,101
A,12,Oliver Evans '12,University of North Carolina at Wilmington,112
A,13,Ervin Grove '11,University of Tennessee,118
A,14,none,North Carolina State University,140
