Division,Placement,Skipper,Team,Total Score
B,1,Mayumi Roller '13,St. Mary's College of Maryland,85
B,2,Jennifer Adler '11,Brown University,86
B,3,Emily Billing '13,Yale University,92
B,4,Maggie Shea '11,Connecticut College,92
B,5,Arielle DeLisser '14,Hobart and William Smith Colleges,96
B,6,Briana Provancha '12,Boston College,99
B,7,Madeline Kennedy '14,University of Hawaii,99
B,8,Natalie Salk '13,Tufts University,100
B,9,Grace Lucas '14,College of Charleston,108
B,10,Jennifer Proctor '11,U. S. Coast Guard Academy,126
B,11,Sarah Mace '14,Stanford University,140
B,12,Nancy Hagood '14,Georgetown University,144
B,13,Morgan Wilson '11,Old Dominion University,144
B,14,Morgan Russom '14,Harvard University,163
B,15,Sara Burke '11,U. S. Naval Academy,172
B,16,Mary Cummins '11,University of Wisconsin,207
B,17,Lauren Beriont '13,University of Michigan,219
B,18,Madeline Gill '12,University of Virginia,225
