Division,Placement,Skipper,Team,Total Score
A,1,John Kinzel '14,University of Wisconsin,19
A,2,Ryan Seago '14,University of Michigan,22
A,3,Ryan Grosch '14,University of Minnesota,25
A,4,Christine Porter '11,University of Wisconsin,27
A,5,Eric DeFeo '12,Northwestern University,32
A,6,Adelheid Rittmeyer '13,University of Illinois - Chicago,38
A,7,David Oliver '14,University of Michigan,43
A,8,Charlie Trost '12,Western Michigan University,45
A,9,Lawrence Jau '13,University of Michigan,47
A,10,Patrick Farrell '13,Marquette University,63
A,11,Paul Kaplan '13 *,University of Chicago,72
A,12,Emily Golden '13,University of Notre Dame,73
A,13,Jamie Gay '11,University of Illinois,76
A,14,Jeffrey Miller '12,University of Notre Dame,76
A,15,Ken Rood '12 *,Purdue University,92
A,16,Catherine Townes '12,Carleton College,97
A,17,William Bailey '12,Robert Morris University Illinois,100
A,18,Matthew Leon '13,Northern Michigan University,102
