Division,Placement,Skipper,Team,Total Score
B,1,Atlantic Brugman '13,Connecticut College,39
B,2,Jennifer Proctor '11,U. S. Coast Guard Academy,43
B,3,Sky Adams '14,Brown University,47
B,4,Genoa Warner '12,Yale University,51
B,5,Katherine Doble '13,Bowdoin College,59
B,6,Kelsey Wheeler '14,Dartmouth College,71
B,7,Paula Grasberger '14,Tufts University,76
B,8,Katherine Gullick '12,Massachusetts Institute of Technology,77
B,9,Erica Lush '14,Boston University,84
B,10,Natalie Sinn '12,University of Minnesota,93
B,11,Christina Johns '13,University of Pennsylvania,96
B,12,Solvig Sayre '14,Eckerd College,103
B,13,Catherine Coupland '12,University of Rhode Island,105
B,14,Hillary Paulsen '13,Cornell University,116
B,15,Mary Hamilton '14,Fordham University,140
B,16,Mariami Bekauri '13,Wellesley College,160
