Division,Placement,Skipper,Team,Total Score
B,1,Mike Flanigan '15,University of Notre Dame,25
B,2,Aly Gazzola '14,Texas A&M University at Galveston,52
B,3,Mackenzie Milne '13,Tulane University,54
B,4,Emmett Dickheiser '15,Texas A&M University at Galveston,55
B,5,Conner Fullerton '12,Texas A&M University,61
B,6,Timothy Kurtin II '14,Texas A&M University at Galveston,78
B,7,Michael Koletsos '13,Texas A&M University,87
B,8,Cameron Hicks '15,Texas A&M University at Galveston,96
B,9,Sarah Douglas '15,University of Texas,104
B,10,Amanda Arrowood '15,Texas A&M University at Galveston,119
B,11,Muhammad Hisham Uddin '14,Texas A&M University,129
B,12,Nicholas Robbins '15,Rice University,168
B,13,Paige Meineke '14,Texas A&M University at Galveston,168
