Division,Placement,Skipper,Team,Total Score
B,1,Bridget Murphy '15,University of Wisconsin,8
B,2,Drake Lundeen '14,University of Minnesota,10
B,3,Jessie Olson '15,University of Minnesota,16
B,4,Michael Kang '12,University of Chicago,18
B,5,Autumn Morden '15,University of Wisconsin Milwaukee,20
B,6,Harrison Faust '16,University of Wisconsin,26
B,7,Hannah Kratz '12,Northern Michigan University,26
B,8,none,Carleton College,32
B,9,C Jones '14,Northwestern University,33
B,10,Courtney Kronschnabel '15,Marquette University,34
B,11,Dillan Newbold '14,University of Iowa,42
