Division,Placement,Skipper,Team,Total Score
A,1,Evan Aras '12,Georgetown University,31
A,2,Shawn Murray '12,SUNY Maritime College,35
A,3,Samuel Blouin '12,Hobart and William Smith Colleges,42
A,4,Alex Ramos '15,U. S. Naval Academy,45
A,5,Joshua Greenslade '14,St. Mary's College of Maryland,51
A,6,Dillon Paiva '13,Old Dominion University,62
A,7,Philip Alley '12,Cornell University,83
A,8,Edward Stokes '15,University of Virginia,94
A,9,Michael Whitford '12,Washington College,96
A,10,Alexander Sachs '12,Fordham University,106
A,11,Andrew Bates '15,U. S. Merchant Marine Academy,117
A,12,Jack Swikart '15,University of Pennsylvania,117
A,13,Gerard Tonachel '13,Stevens Institute of Technology,119
A,14,Isaac Clark '12,William and Mary,127
A,15,John Croll '12,Columbia University,132
A,16,Samantha Gebb '14,Princeton University,137
A,17,Andrew Sayre '12,Villanova University,154
A,18,Giuditta Di Laghi '16,Hampton University,166
