Division,Placement,Skipper,Team,Total Score
B,1,Devin Copfer '14,Ohio State University,7
B,2,Corinne Sackett '15,Ohio State University,8
B,3,Andrew Green '14,University of Buffalo,10
B,4,Andrew Davis '14 *,University of Toledo,14
B,5,Elizabeth Dust '15,Michigan State University,20
B,6,Austin Miller '15,Wittenberg University,20
B,7,Samantha Maras '12,Miami University,21
B,8,Connor Madden '15 *,Ohio University,21
B,9,Daniel Drummond '12,Penn State University,25
B,10,Michael Danta '14,University of Rochester,27
B,11,Tara Foster '14,Denison University,29
B,12,Hilary Rieman '13,Bowling Green State University,41
B,13,none,Auburn University,45
B,14,none,Denison University,45
