Division,Placement,Skipper,Team,Total Score
B,1,Hans Henken '15,Stanford University,31
B,2,Christopher Banholzer '13,College of Charleston,32
B,3,Nancy Hagood '14,Georgetown University,50
B,4,Matt Johnson '12,Boston University,54
B,5,Robert Savoie '14,Eckerd College,60
B,6,Mike Bloomstine '13,Providence College,78
B,7,Graham Landy '15,Yale University,82
B,8,Ryan Seago '14,University of Michigan,86
B,9,Kyle Carney '13,Salve Regina University,91
B,10,Dylan Finneran '15,U. S. Coast Guard Academy,96
B,11,Jasper Curry '14,University of Florida,105
B,12,Collin Weston '13,Texas A&M University at Galveston,109
B,13,Domenic Re '15,Villanova University,117
B,14,Mark Miedama '14,Old Dominion University,118
B,15,Mary Buhl '14,Christopher Newport University,123
B,16,Austin Nettles '11,Clemson University,147
B,17,David Horton '12,Jacksonville University,175
B,18,David Rogers '15,North Carolina State University,176
