Division,Placement,Skipper,Team,Total Score
B,1,Evan Aras '12,Georgetown University,50
B,2,Oliver Toole '14,Stanford University,60
B,3,Matthew Wefer '14,Dartmouth College,64
B,4,Sean Bouchard '12,Roger Williams University,69
B,5,Austen Anderson '12,Hobart and William Smith Colleges,81
B,6,Brady Stagg '14,Old Dominion University,87
B,7,Ben Spector '13,College of Charleston,88
B,8,Judge Ryan '14,Brown University,101
B,9,Robert Savoie '14,Eckerd College,130
B,10,Matt Johnson '12,Boston University,136
B,11,Ryan Grosch '14,University of Minnesota,168
B,12,Ryan Seago '14,University of Michigan,170
B,13,Collin Weston '13,Texas A&M University at Galveston,179
B,14,Sam Fitzgerald '14,Washington College,185
B,15,Shane Young '14,California State University Long Beach,197
B,16,Ellen Nielsen '15,University of Texas,200
B,17,Andrew Balter '12,University of Oregon,207
B,18,Adelheid Rittmeyer '13,University of Illinois - Chicago,215
