Division,Placement,Skipper,Team,Total Score
A,1,Joseph Kutschenreuter '12,University of Wisconsin,20
A,2,Natalie Sinn '12,University of Minnesota,26
A,3,Matthew Graham '13,University of Michigan,49
A,4,Michael Cornew '13,Northwestern University,50
A,5,Dustin Domer '13,University of Illinois - Chicago,61
A,6,Mike Flanigan '15,University of Notre Dame,62
A,7,Phil Holt '14,Purdue University,75
A,8,Bill Weiland '14,Michigan State University,79
A,9,Colleen Mooney '12,Marquette University,93
A,10,Aras Karaitis '12,Western Michigan University,94
A,11,Tara Foster '14,Denison University,117
