Division,Placement,Skipper,Team,Total Score
B,1,Briana Provancha '12,Boston College,58
B,2,Morgan Kiss '15,Yale University,67
B,3,Deirdre Lambert '15,Dartmouth College,96
B,4,Sky Adams '14,Brown University,104
B,5,Elizabeth Whipple '12,Connecticut College,122
B,6,Chanel Miller '14,University of Rhode Island,129
B,7,Olivia Crane '15,University of Vermont,131
B,8,Annie Schmidt '14,Roger Williams University,135
B,9,Lauren Cefali '15,U. S. Coast Guard Academy,150
B,10,Morgan Russom '14,Harvard University,154
B,11,Chloe Lepert '15,Massachusetts Institute of Technology,156
B,12,Erica Lush '14,Boston University,173
B,13,Lizzy Hamilton '15,Bowdoin College,176
B,14,Mariel Marchand '13,Tufts University,179
B,15,Mary Clawson '15,Salve Regina University,231
B,16,Heidi Hood '16,Northeastern University,247
B,17,Sarah Pollick '14,Middlebury College,292
