Division,Placement,Skipper,Team,Total Score
A,1,Alexander Sachs '12,Fordham University,24
A,2,Philip Alley '12,Cornell University,32
A,3,Nick Ventrilla '12,University of Buffalo,39
A,4,John Croll '12,Columbia University,44
A,5,Chantal Hearst '12,University of Toronto,53
A,6,James Codega '14,Webb Institute,54
A,7,Jeffrey Gordon '13,Colgate University,55
A,8,Ian Hunt '13,Rochester Institute of Technology,64
A,9,William McIvor '12,Hamilton College,66
A,10,Matthew Sullivan '13,Queen's University,67
A,11,Andrew Murphy '14,Syracuse University,68
A,12,Stan Benarick '12,U. S. Military Academy,84
A,13,Phillip Sellstrom '13,University of Rochester,93
A,14,Benjamin Goldlust '14,Skidmore College,98
