Division,Placement,Skipper,Team,Total Score
A,1,Markus Edegran '16,U. S. Naval Academy,22
A,2,Kayla McComb '13,St. Mary's College of Maryland,28
A,3,Zach Runci '13,Old Dominion University,40
A,4,Christopher Stessing '14,University of Virginia,62
A,5,Michael Russom '13,University of Pennsylvania,64
A,6,Julia Paxton '14,SUNY Maritime College,64
A,7,Ian Connors '13,George Washington University,73
A,8,Mia Cooper '14,Fordham University,89
A,9,Giuditta Di Laghi '16,Hampton University,95
A,10,Isaac Clark '12,William and Mary,95
A,11,Andrew Murphy '14,Syracuse University,104
A,12,Andrew Rybczynski '12,University of Maryland,116
A,13,Noel Ingalls '15,U. S. Merchant Marine Academy,123
A,14,Natalie Ross '15,Christopher Newport University,124
A,15,David Geer '13,U. S. Military Academy,137
A,16,Peter Hays '14,American University,141
A,17,Anthony Pappenfus '13,Princeton University,161
A,18,Adam Rybczynski '14,University of Maryland/Baltimore County,175
