Division,Placement,Skipper,Team,Total Score
B,1,David Hernandez '12,University of Miami,8
B,2,Robert Savoie '14,Eckerd College,16
B,3,Zeke Horowitz '12,College of Charleston,21
B,4,William Heausler '13,University of Florida,23
B,5,SEAN Ross '12,University of South Florida,24
B,6,Drew Lisicki '12,Clemson University,36
B,7,Cole Barney '14,University of North Carolina at Wilmington,48
B,8,AROLDO DE RIENZO '13,Georgia Tech,49
B,9,Ian Nora '14,Rollins College,53
B,10,Robert Marshall '15,The Citadel,59
B,11,Brion Capo '12,North Carolina State University,65
B,12,Patrick Tonissen '15,New College of Florida,68
