Division,Placement,Skipper,Team,Total Score
A,1,Amy Hawkins '12,University of Rhode Island,42
A,2,Atlantic Brugman '13,Connecticut College,46
A,3,Kelsey Wheeler '14,Dartmouth College,48
A,4,Emily Dellenbaugh '12,Brown University,52
A,5,Corey Hall '12,College of Charleston,55
A,6,Emily Lambert '12,Harvard University,60
A,7,Kayla McComb '13,St. Mary's College of Maryland,62
A,8,Madeline Kennedy '14,University of Hawaii,63
A,9,Emilie Mademann '12,Eckerd College,86
A,10,Arielle DeLisser '14,Hobart and William Smith Colleges,86
A,11,Lauren Turner '13,Cornell University,94
A,12,Corina Radtke '14,Old Dominion University,98
A,13,Kelsey Rupp '12,University of Southern California,100
A,14,Lily Grimshaw '15,University of Washington,118
A,15,Irene Jacqz '13,Columbia University,123
A,16,Mildred Conroy '12,Washington College,131
A,17,Natalie Sinn '12,University of Minnesota,133
A,18,Bridget Murphy '15,University of Wisconsin,142
