Division,Placement,Skipper,Team,Total Score
B,1,Ben Weigel '14,Tufts University,33
B,2,Ian Storck '15,Dartmouth College,44
B,3,Sara Swanson '16,Roger Williams University,47
B,4,Andrew Moakes '13,University of Rhode Island,75
B,5,Liz Dubovik '15,Connecticut College,85
B,6,Alexandra Romagnoli '15,Connecticut College,85
B,7,Thomas Presti '13,University of Connecticut,91
B,8,Pierce Conlin '15,Salve Regina University,94
B,9,Peter Bailey '15,Brown University,101
B,10,Andrew Morgan '15,Massachusetts Maritime Academy,102
B,11,Genevieve Marquardt '15,Salve Regina University,103
B,12,William Dykes '15,University of New Hampshire,143
B,13,Sarah Hyman '15,Brandeis University,154
B,14,Olin Nelson '13,Northeastern University,160
B,15,Steven Bell '16,Maine Maritime Academy,164
B,16,Lou Magarelli '16,Providence College,176
B,17,Jorge Castro '16,Williams College,190
B,18,Katherine Walker '16,Wesleyan University,208
