Division,Placement,Skipper,Team,Total Score
B,1,Nicholas Clemence '15,St. Mary's College of Maryland,51
B,2,Hans Henken '15,Stanford University,66
B,3,Devin Laviano '13,U. S. Naval Academy,70
B,4,Nick Valente '16,SUNY Maritime College,91
B,5,Max Nickbarg '14,Yale University,98
B,6,William Hutchings '13,Tufts University,102
B,7,Connor Corgard '16,Roger Williams University,102
B,8,Esteban Forrer '16,Old Dominion University,106
B,9,Louis Padnos '14,Hobart and William Smith Colleges,128
B,10,Bo McClatchy '13,Dartmouth College,128
B,11,Michael Booker '15,University of Vermont,129
B,12,Eric Siegel '16,Washington College,149
B,13,Francois Conde-Jahn '13,U. S. Merchant Marine Academy,173
B,14,Adam Keally '15,Fordham University,184
B,15,Philip Oasis '13,Princeton University,222
