Division,Placement,Skipper,Team,Total Score
B,1,Sarah Williams '16,Dartmouth College,13
B,2,Conor Fowler '14,Boston University,13
B,3,William Dykes '15,University of New Hampshire,17
B,4,Dylan Kavookjian '16,Dartmouth College,19
B,5,Robert Queisser '16,Massachusetts Maritime Academy,36
B,6,Gregory Henkelman '13,Johnson and Wales University,42
B,7,Jorge Castro '16,Williams College,45
B,8,Nicole Hoesterey '13,Middlebury College,49
B,9,Emma Ambrogi '16,Wellesley College,51
B,10,Kellyn Maves '16,Wesleyan University,56
B,11,William Thomas '15,Wesleyan University,59
