Division,Placement,Skipper,Team,Total Score
B,1,Bryce Kopp '16,Connecticut College,18
B,2,Domenic Bove '15,Boston College,22
B,3,Alexandra Swanson '16,Brown University,33
B,4,Marcos Darcy '16,Boston College,34
B,5,Elizabeth Glivinski '14,Boston University,36
B,6,Peter Bailey '15,Brown University,39
B,7,Rosalind Lesh '16,Massachusetts Institute of Technology,48
B,8,Andrew Morgan '15,Massachusetts Maritime Academy,53
B,9,Zachary Drach '15,Massachusetts Institute of Technology,54
B,10,Lou Magarelli '16,Providence College,67
B,11,Olin Nelson '13,Northeastern University,68
B,12,Sarah Pollick '14,Middlebury College,79
B,13,Tom McKenzie '13,Salve Regina University,90
B,14,Earl Lin '15,Wesleyan University,94
