Division,Placement,Skipper,Team,Total Score
A,1,Mary Hall '15,U. S. Naval Academy,45
A,2,Morgan Kiss '15,Yale University,57
A,3,Stephanie Hudson '13,Boston College,68
A,4,Abby Featherstone '13,University of South Florida,75
A,5,Natalie Salk '13,Tufts University,84
A,6,Atlantic Brugman '13,Connecticut College,85
A,7,Arielle DeLisser '14,Hobart and William Smith Colleges,85
A,8,Sarah Mace '14,Stanford University,87
A,9,Morgan Russom '14,Harvard University,88
A,10,Haley Powell '13,Roger Williams University,92
A,11,Kaylee Schwitzer '15,Bowdoin College,95
A,12,Sky Adams '14,Brown University,101
A,13,Chloe Lepert '15,Massachusetts Institute of Technology,108
A,14,Catherine Shanahan '15,St. Mary's College of Maryland,115
A,15,Kaye Siemers '13,Eckerd College,119
A,16,Lauren Cefali '15,U. S. Coast Guard Academy,132
A,17,Kelsey Wheeler '14,Dartmouth College,133
A,18,Chanel Miller '14,University of Rhode Island,141
