Division,Placement,Skipper,Team,Total Score
A,1,Gregory Dair '14,California State University Channel Islands,14
A,2,Ian Stokes '16,University of California at Santa Barbara,17
A,3,Cameron Hutcheson '14,University of Southern California,25
A,4,Matthew Morris '16,University of California at San Diego,27
A,5,Shane Young '14,California State University Long Beach,30
A,6,John Hill '13,California State University Long Beach,41
A,7,Cobi Allen '16,University of California at Santa Barbara,49
A,8,Samuel Heller '15,University of California at Irvine,55
A,9,Nicolas Delfino '16,University of California at San Diego,56
A,10,Andrew Schlegel '16,University of Southern California,57
A,11,Emelia Pelliccio '13,University of California at Los Angeles,57
A,12,Kate Andersen '15,University of California at Irvine,61
A,13,Steven Cassingham '14,Arizona State University,66
A,14,Gabriel Monti '15,University of California at Los Angeles,78
A,15,Jiachao Yang '15,University of California at San Diego,89
