Division,Placement,Skipper,Team,Total Score
B,1,Chris Aitken '15,Providence College,19
B,2,Edward Moan '14,Bates College,30
B,3,Brooke Baker '13,Wesleyan University,31
B,4,Nicholas Dragone '14,Middlebury College,36
B,5,Hollister Poole '15,Maine Maritime Academy,39
B,6,William Dykes '15,University of New Hampshire,60
B,7,Andrew Smith '14,Massachusetts Maritime Academy,71
B,8,Brent Bomkamp '15,Williams College,82
B,9,Matthew Szekalslvi '13 *,University of Connecticut,88
B,10,Sarah Hyman '15,Brandeis University,90
