Division,Placement,Skipper,Team,Total Score
B,1,John Ortel '15,Stanford University,6
B,2,Mark Ryan '15,California State University Long Beach,9
B,3,Sarah Mace '14,Stanford University,11
B,4,Yuki Yoshiyasu '16,Stanford University,11
B,5,Scott Doyle '14,California Maritime Academy,13
B,6,Andrew Lamb '14,California Maritime Academy,14
B,7,Joshua Goldberg '14,University of California at Berkeley,25
B,8,Mark Hurdle '13,California State University Monterey Bay,26
B,9,Ryan Wilkerson '14,University of California at Davis,27
B,10,Grant Petersen '15,Cal Poly University S.L.O.,29
B,11,Christina Stege '14,California State University Monterey Bay,36
B,12,Christopher Keefe '14,University of California at San Diego,38
B,13,Kimberley Cohan '14,University of California at Santa Cruz,48
B,14,Jamie Wai '12,University of Oregon,48
B,15,Charles Hall '13,Santa Clara University,48
