Division,Placement,Skipper,Team,Total Score
A,1,Willem Sandberg '14,Tufts University,45
A,2,John Renehan '13,Dartmouth College,56
A,3,Ryan Mullins '13,Boston College,58
A,4,Connor Needham '14,Roger Williams University,63
A,5,David Larson '16,Massachusetts Institute of Technology,63
A,6,Emily Billing '13,Yale University,71
A,7,John Silvestri '16,Salve Regina University,93
A,8,Timothy Harding '15,Brown University,94
A,9,Ames Lyman '14,Harvard University,103
A,10,Brendan Cook '16,Boston University,104
A,11,Adam Ceely '15,University of Vermont,121
A,12,Thomas Presti '13,University of Connecticut,133
A,13,Andrew McHenry '13,Maine Maritime Academy,142
A,14,Victoria McGruer '17,Northeastern University,150
A,15,Olin Nelson '13,Northeastern University,160
A,16,Nicholaus Pehr '15,Massachusetts Maritime Academy,177
